,rf,svm,gb,lr,ridge,vip
rf,0.9999999999999998,0.3168362246864546,0.2969591535033004,0.3197257460317417,0.31657201964976,0.3235433639980119
svm,0.3168362246864546,1.0,0.28604332013066713,0.9947544671784849,0.9999823749267782,0.9395553297703038
gb,0.2969591535033004,0.28604332013066713,1.0,0.28606868420250314,0.286045131850084,0.2860560021665851
lr,0.3197257460317417,0.9947544671784849,0.28606868420250314,1.0,0.994986185052901,0.9665885634010171
ridge,0.31657201964976,0.9999823749267782,0.286045131850084,0.994986185052901,1.0,0.9402961012301264
vip,0.3235433639980119,0.9395553297703038,0.2860560021665851,0.9665885634010171,0.9402961012301264,1.0
